NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
eZelleron,"Focuses on the development of portable power supply, including accumulator systems and batteries",Europe,Germany,Dresden,51.050409,13.737262,11.76,battery;developer tools;sustainable development goals;climate tech,energy,energy providers;energy efficiency;energy storage;clean energy,early growth,ECAPITAL;Fraunhofer Venture;Kraftwerk TUBES GmbH,venture_capital;venture_capital;corporate,Dresden
H2ozone,H2Ozone provides a chemically free purification solution for all water sources to independently verified drinking water standards,Europe,Ireland,Dublin,53.085598,-6.106135,5.0,natural resources;water treatment;sustainable development goals;climate tech;novel energy,food;energy,water;agritech,seed,Henry Bolger,angel,Dublin
SolarPrint,SolarPrint develops and manufactures dye sensitized solar cell (DSSC) photovoltaic technology used in various consumer electronic products,Europe,Ireland,Dublin,32.077814,-98.343876,2.75,entertainment;consumer electronics;sustainable development goals;solar energy;open source;streaming;climate tech;natural resources,media;energy,social media;clean energy,seed,,,Galway
Exergyn,"Designs and develops SMA core technology to enable its global partners to transform their product offering to be more environmentally friendly, without compromising on cost, size, weight or efficiencies",Europe,Ireland,Dublin,53.376408,-6.270668,32.58,geothermal energy;sustainable development goals;climate tech,energy,energy efficiency;energy providers,early growth,European Innovation Council;Lacerta Partners;McWin Investment;Mercuria Energy Group;Unreasonable Group;Keiretsu Forum,government;venture_capital;venture_capital;corporate;corporate;venture_capital,Dublin
Nines Photovoltaic,UNIVERSAL DRY TEXTURING PROCESS DESIGNED FOR THE SOLAR CELL INDUSTRY,Europe,Ireland,Dublin,53.290292,-6.3615,3.35,sustainable development goals;solar energy;climate tech;natural resources;publishing,energy,clean energy,seed,EIT InnoEnergy,venture_capital,Dublin
RedT,redT energy | Industrial energy storage systems,Europe,Ireland,Dublin,53.34807,-6.24827,1.3,battery;sustainable development goals;climate tech,energy,energy storage;clean energy,late growth,John Ward;Enterprise Ireland,angel;government & non-profit,Dublin
BNRG Renewables,An International Renewable Energy development company Specialising in utility-scale solar PV projects,Europe,Ireland,Dublin,32.077814,-98.343876,124.42,developer tools;sustainable development goals;solar energy;climate tech;farming,energy,clean energy;energy providers,late growth,AIB,corporate,Galway
Gazelle Wind Power,Hybrid floating offshore wind platform,Europe,Ireland,Dublin,53.3498053,-6.2603097,9.09,wind energy;sustainable development goals;climate tech;bluetech;blue economy,energy,clean energy,early growth,Valentin de Torres;Solanot del Pino;Peter Murphy;Zach Mecelis;Katapult Ocean;Plug and Play;Plug & Play Topeka;Katapult,angel;angel;angel;angel;venture_capital;venture_capital;accelerator;accelerator,Dublin
Terra Solar,,Europe,Ireland,Dublin,53.3498053,-6.2603097,2.5,solar energy;natural resources;farming;sustainable development goals;climate tech,energy,clean energy,early growth,ESB International,corporate,Dublin
UrbanVolt,Energy-saving LED lighting firm,Europe,Ireland,Dublin,53.3273932,-6.2486959,92.6,climate tech;cost management;sustainable development goals;b corp,energy,energy efficiency,early growth,Low Carbon Innovation Fund;SUSI Partners;Stephen Vernon;Ireland Strategic Investment Fund;P Capital Partners;Beach Point Capital Management;Business Venture Partners BVP;Solas Capital,venture_capital;venture_capital;angel;sovereign_wealth_fund;investment fund;venture_capital;venture_capital;venture_capital,Dublin
HT Materials Science,HTMS develops and manufactures commercial and industrial heat transfer fluids,Europe,Ireland,Dublin,53.3395506,-6.2446583,20.64,material technology;sustainable development goals;advanced materials;industrial technology;climate tech;building energy efficiency;green buildings;efficient air cooling and heating;urban tech,real estate;energy,energy efficiency,early growth,Progress Tech Transfer Fund;Enterprise Ireland;Saudi Aramco Energy Ventures;Barclays;CDP Venture Capital;Aramco Ventures,venture_capital;government & non-profit;corporate_venture_fund;corporate;venture_capital;investment fund,Dublin
FenestraPro,Efficient facade design for architects,Europe,Ireland,Dublin,53.3536155,-6.2268759,1.75,crm;contech;sustainable development goals;solar energy;climate tech;architecture;cloud computing,real estate;energy,construction;real estate software;energy efficiency;clean energy,early growth,Pi Labs;Enterprise Ireland,venture_capital;government & non-profit,Dublin
Wevebob,"Wavebob is developing a wave energy convertor, harnessing the power of the ocean to produce clean, renewable energy",Europe,Ireland,Dublin,53.38129,-6.59185,3.0,sustainable development goals;climate tech,energy,clean energy;water,late growth,,,Dublin
DENS,"DENS creates reformers that convert hydrozine into clean, inexpensive hydrogen. The reformer converts hydrozine into H2 gas and supplies a fuel cell for on-demand electricity generation",Europe,Netherlands,Eindhoven,51.474408,5.6239959,3.63,hydrogen;climate tech;sustainable development goals;novel energy;hydrogen novel energy,energy,energy providers;clean energy;energy storage,late growth,BOM Brabant Ventures;Koolen Industries;Brabant Startup Fonds;EIC Fund (European Innovation Council Fund);European Innovation Council,venture_capital;corporate;investment fund;venture_capital;government,Eindhoven
Cellcius,Makes it possible to store energy in the form of heat and then use it independently of time and place,Europe,Netherlands,Eindhoven,51.4392648,5.478633,1.44,sustainable development goals,energy,energy storage;energy providers;energy efficiency,early growth,Eindhoven University of Technology (TU/e);Brabant Startup Fonds;BOM Brabant Ventures;Innovation Industries;Goeie Grutten Impact Fonds;TNO - Netherlands Organisation for Applied Scientific Research,university;investment fund;venture_capital;venture_capital;venture_capital;non-profit,Eindhoven
Carbyon,Netherlands-based company that develops direct air capture (DAC) technologies,Europe,Netherlands,Eindhoven,51.443843,5.47887414,2.85,sustainable development goals;carbon capture and storage;climate tech;novel energy;direct air capture,energy,,early growth,TNO - Netherlands Organisation for Applied Scientific Research;HighTechXL;Mμ Eindhoven;Brabant Startup Fonds;Musk Foundation;Invest-NL,non-profit;accelerator;accelerator;investment fund;corporate;investment fund,Eindhoven
LionVolt,Battery startup company that claims to develop the most efficient solid state lithium-ion battery,Europe,Netherlands,Eindhoven,51.4134573,5.4563296,5.6,spinout;novel energy;sustainable development goals;lithium ion batteries;ev battery;electric mobility;next-gen lithium novel energy;solid-state battery,energy;transportation,vehicle production;energy storage,early growth,TNO - Netherlands Organisation for Applied Scientific Research;Innovation Industries;BOM Brabant Ventures;Sake Bosch;Brabant Startup Fonds,non-profit;venture_capital;venture_capital;angel;investment fund,Eindhoven
VitalFluid,"Young innovative company specialised in plasma activated water (PAW), engineering and design of PAW-equipment and application",Europe,Netherlands,Eindhoven,51.412651,5.4509839,4.34,sustainable development goals;climate tech;biotechnology in food;fertigation,energy,water,early growth,StartLife;European Innovation Council;EIT Climate-KIC;VDL Groep;BOM Brabant Ventures;Eindhoven University of Technology (TU/e),"advisor,incubator;government;accelerator;corporate;venture_capital;university",Eindhoven
Ioniqa,Specialized in creating value out of plastic waste by using its proprietary circular technology,Europe,Netherlands,Eindhoven,51.4500817,5.49532,54.27,recycling;waste reduction;chemistry;sustainable development goals;industrial technology;advanced materials;innovative material tech;polymers and polymer alternatives;climate tech;spinout;novel energy;circular economy;plastic pollution,energy,clean energy,early growth,Chemelot Ventures;Dutch National Fund for Green Investments;Netherlands Enterprise Agency (RVO);Martin Duits;Brightlands Venture Partners;Eindhoven University of Technology (TU/e);Koch Disruptive Technologies,venture_capital;investment fund;government;angel;venture_capital;university;corporate_venture_fund,Eindhoven
IBIS Power,IBIS Power provides revolutionary and innovative renewable energy solutions with highest impact to society. The company combines wind and solar energy generation with their innovative hardware solution placed on the top of residential buildings,Europe,Netherlands,Eindhoven,51.4483842,5.4582096,3.16,solar energy;sustainable development goals;wind energy;climate tech,energy,clean energy,early growth,European Innovation Council;Urban Impact Ventures,government;venture_capital,Eindhoven
Micro Turbine Technology (MTT),"Builds cogeneration technology and products, like a 3kWe micro CHP system based on a very small gas turbine",Europe,Netherlands,Eindhoven,51.4886703,5.4914813,6.88,wind energy;sustainable development goals;climate tech,energy;engineering and manufacturing equipment,clean energy,early growth,Eurostars SME programme;EUREKA Network Projects;Horizon 2020 FTI (Fast Track to Innovation);BOM Brabant Ventures;Avila Energy Corporation,government;non-profit;government;venture_capital;company,Eindhoven
Spark-nano,Provides Spatial Atomic Layer Deposition technology for a green future,Europe,Netherlands,Eindhoven,51.4392648,5.478633,5.5,sustainable development goals;climate tech;battery;hydrogen,energy,energy storage,early growth,Invest-NL;BOM Brabant Ventures;Air Liquide;Innovation Industries;TNO - Netherlands Organisation for Applied Scientific Research;Somerset Capital Partners,investment fund;venture_capital;corporate;venture_capital;non-profit;venture_capital,Eindhoven
Sound Energy,Turn heat into cooling using thermoacustic technology,Europe,Netherlands,Enschede,52.2209855,6.8940537,1.05,sustainable development goals;smart building;building cooling;climate tech;building energy efficiency;green buildings;efficient air cooling and heating;urban tech,real estate;energy,energy efficiency,seed,European Innovation Council;Cottonwood Technology Fund;KPN Ventures;Oost NL;Alain le Loux MSc MBA,government;venture_capital;corporate_venture_fund;venture_capital;angel,Enschede
SunChip Projects B.V.,"Endless energy, infinite applications",Europe,Netherlands,Enschede,52.261568,6.7921784,2.73,solar energy;sustainable development goals;climate tech,energy,clean energy,seed,European Innovation Council;Oost NL;EIT Climate-KIC,government;venture_capital;accelerator,Enschede
Cooll,Cooll - Sustainable energy solutions,Europe,Netherlands,Enschede,52.2305379,6.8726755,3.5,refrigeration;space;heat pump;building energy efficiency;urban tech;sustainable development goals;climate tech,energy,clean energy;energy efficiency,early growth,Energiefonds Overijssel,venture_capital,Enschede
IO-Dynamics,SMART ENERGY MANAGEMENT FOR ELECTRIC FLEETS AND LARGE CHARGING INFRASTRUCTURES,Europe,Germany,Flensburg,54.77474175,9.49771075,0.91,smart grid;sustainable development goals;ev charging;ev charging software;climate tech;electric mobility,energy;transportation,mobility,early growth,Startport;High-Tech Gründerfonds;Smart Infrastructure Ventures;be-exponential;Christopher Burghardt;Niels Ellwanger;Roman Dudenhausen;Mike de Saldanha,"accelerator;venture_capital;venture_capital;family_office,angel_fund;angel;angel;angel;angel",Odense
Nse Industry,,Europe,Italy,Florence,43.687518,10.796099,2.5,sustainable development goals;biomass;climate tech,energy,clean energy,seed,,,Milan
